"DUI Arrests by Month"
"Current date: 4/13/2021 4:31:25 PM (Mountain Daylight Time)"
"Multiple Arrest Indicator: All Countable Arrests"
"Arrest Offense for A and B Arrests: Driving Under the Influence"
"Arrest Date","Arrest Month","Jurisdiction by Geography","Number of Arrestees",
"Total","March","Logan County","59"
"Total","March","Mesa County","354"
"Total","March","Mineral County",""
"Total","March","Moffat County","36"
"Total","March","Montezuma County","81"
"Total","March","Montrose County","75"
"Total","March","Morgan County","43"
"Total","March","Otero County","25"
"Total","March","Ouray County","4"
"Total","March","Park County","33"
"Total","March","Phillips County","7"
"Total","March","Pitkin County","60"
"Total","March","Prowers County","40"
"Total","March","Pueblo County","132"
"Total","March","Rio Blanco County","23"
"Total","March","Rio Grande County","29"
"Total","March","Routt County","74"
"Total","March","Saguache County","5"
"Total","March","San Juan County",""
"Total","March","San Miguel County","21"
"Total","March","Sedgwick County",""
"Total","March","Summit County","194"
"Total","March","Teller County","86"
"Total","March","Washington County","1"
"Total","March","Weld County","666"
"Total","March","Yuma County","11"
"Total","March","Broomfield County","108"
"Total","March","Colorado Bureau of Investigation",""
"Total","March","Colorado State Patrol","2,858"
"Total","April","Total","12,280"
"Total","April","Adams County","1,916"
"Total","April","Alamosa County","16"
"Total","April","Arapahoe County","468"
"Total","April","Archuleta County","31"
"Total","April","Baca County","2"
"Total","April","Bent County","3"
"Total","April","Boulder County","501"
"Total","April","Chaffee County","47"
"Total","April","Cheyenne County","5"
"Total","April","Clear Creek County","39"
"Total","April","Conejos County",""
"Total","April","Costilla County","4"
"Total","April","Crowley County","11"
"Total","April","Custer County","8"
"Total","April","Delta County","25"
"Total","April","Denver County","909"
"Total","April","Dolores County","1"
"Total","April","Douglas County","354"
"Total","April","Eagle County","131"
"Total","April","Elbert County","33"
"Total","April","El Paso County","1,174"
"Total","April","Fremont County","36"
"Total","April","Garfield County","194"
"Total","April","Gilpin County","69"
"Total","April","Grand County","45"
"Total","April","Gunnison County","56"
"Total","April","Hinsdale County",""
"Total","April","Huerfano County","8"
"Total","April","Jackson County","4"
"Total","April","Jefferson County","848"
"Total","April","Kiowa County","2"
"Total","April","Kit Carson County","11"
"Total","April","Lake County","22"
"Total","April","La Plata County","156"
"Total","April","Larimer County","736"
"Total","April","Las Animas County","15"
"Total","April","Lincoln County","5"
"Total","April","Logan County","46"
"Total","April","Mesa County","278"
"Total","April","Mineral County","1"
"Total","April","Moffat County","45"
"Total","April","Montezuma County","55"
"Total","April","Montrose County","57"
"Total","April","Morgan County","22"
"Total","April","Otero County","26"
"Total","April","Ouray County","1"
"Total","April","Park County","28"
"Total","April","Phillips County","5"
"Total","April","Pitkin County","58"
"Total","April","Prowers County","20"
"Total","April","Pueblo County","156"
"Total","April","Rio Blanco County","19"
"Total","April","Rio Grande County","12"
"Total","April","Routt County","53"
"Total","April","Saguache County","7"
"Total","April","San Juan County","1"
"Total","April","San Miguel County","12"
"Total","April","Sedgwick County","1"
"Total","April","Summit County","128"
"Total","April","Teller County","86"
"Total","April","Washington County","7"
"Total","April","Weld County","545"
"Total","April","Yuma County","10"
"Total","April","Broomfield County","87"
"Total","April","Colorado Bureau of Investigation",""
"Total","April","Colorado State Patrol","2,629"
"Total","May","Total","13,363"
"Total","May","Adams County","2,103"
"Total","May","Alamosa County","16"
"Total","May","Arapahoe County","471"
"Total","May","Archuleta County","23"
"Total","May","Baca County","4"
"Total","May","Bent County","3"
"Total","May","Boulder County","544"
"Total","May","Chaffee County","93"
"Total","May","Cheyenne County","4"
"Total","May","Clear Creek County","37"
"Total","May","Conejos County",""
"Total","May","Costilla County","3"
"Total","May","Crowley County","6"
"Total","May","Custer County","22"
"Total","May","Delta County","29"
"Total","May","Denver County","1,020"
"Total","May","Dolores County","4"
"Total","May","Douglas County","381"
"Total","May","Eagle County","149"
"Total","May","Elbert County","34"
"Total","May","El Paso County","1,203"
"Total","May","Fremont County","65"
"Total","May","Garfield County","182"
"Total","May","Gilpin County","68"
"Total","May","Grand County","20"
"Total","May","Gunnison County","60"
"Total","May","Hinsdale County",""
"Total","May","Huerfano County","2"
"Total","May","Jackson County","6"
"Total","May","Jefferson County","957"
"Total","May","Kiowa County",""
"Total","May","Kit Carson County","23"
"Total","May","Lake County","14"
"Total","May","La Plata County","153"
"Total","May","Larimer County","829"
"Total","May","Las Animas County","22"
"Total","May","Lincoln County","15"
"Total","May","Logan County","51"
"Total","May","Mesa County","275"
"Total","May","Mineral County",""
"Total","May","Moffat County","31"
"Total","May","Montezuma County","69"
"Total","May","Montrose County","77"
"Total","May","Morgan County","32"
"Total","May","Otero County","20"
"Total","May","Ouray County","3"
"Total","May","Park County","27"
"Total","May","Phillips County","9"
"Total","May","Pitkin County","49"
"Total","May","Prowers County","23"
"Total","May","Pueblo County","196"
"Total","May","Rio Blanco County","27"
"Total","May","Rio Grande County","25"
